Index,Concept,Question,Answer,Photo,photo_path
139.0,Monastery_of_Saint_Simeon_in_Aswan,What is its current status?,Tourist attraction.,,/downloaded_images/img_1198.jpg
139.0,Monastery_of_Saint_Simeon_in_Aswan,Where is this located?,Near Aswan,,/downloaded_images/img_1199.jpg
139.0,Monastery_of_Saint_Simeon_in_Aswan,What is the monastery's other name?,Anba Hatre,,/downloaded_images/img_1200.jpg
139.0,Monastery_of_Saint_Simeon_in_Aswan,What protected the site?,Outer walls.,,/downloaded_images/img_1201.jpg
139.0,Monastery_of_Saint_Simeon_in_Aswan,Is it well-preserved?,"Yes, well-preserved.",,/downloaded_images/img_1202.jpg
139.0,Monastery_of_Saint_Simeon_in_Aswan,What is used for travel there?,Boat and camel,,/downloaded_images/img_1203.jpg
139.0,Monastery_of_Saint_Simeon_in_Aswan,What period was its peak?,10th-13th centuries,,/downloaded_images/img_1204.jpg
140.0,Temple_of_Isis_in_Philae,What goddess is this dedicated to?,Isis (primarily),,/downloaded_images/img_1245.jpg
140.0,Temple_of_Isis_in_Philae,Where was it relocated?,Agilkia Island,,/downloaded_images/img_1246.jpg
140.0,Temple_of_Isis_in_Philae,What river is it on?,Nile River,,/downloaded_images/img_1247.jpg
140.0,Temple_of_Isis_in_Philae,What is it made of?,"Stone, structures.",,/downloaded_images/img_1248.jpg
140.0,Temple_of_Isis_in_Philae,What is it covered in?,Inscriptions and reliefs,,/downloaded_images/img_1249.jpg
140.0,Temple_of_Isis_in_Philae,What was its original location?,Philae Island,,/downloaded_images/img_1250.jpg
140.0,Temple_of_Isis_in_Philae,When was it constructed?,Ptolemaic to Roman,,/downloaded_images/img_1245.jpg
140.0,Temple_of_Isis_in_Philae,Who helped preserve it?,UNESCO (project),,/downloaded_images/img_1246.jpg
140.0,Temple_of_Isis_in_Philae,Is it a tourist attraction?,"Yes, tourist attraction.",,/downloaded_images/img_1247.jpg
140.0,Temple_of_Isis_in_Philae,What architecture does it blend?,"Egyptian, Greek, Roman",,/downloaded_images/img_1248.jpg
140.0,Temple_of_Isis_in_Philae,What is it now on?,Agilkia Island,,/downloaded_images/img_1249.jpg
140.0,Temple_of_Isis_in_Philae,Was it moved?,"Yes, relocated.",,/downloaded_images/img_1250.jpg
140.0,Temple_of_Isis_in_Philae,What is on the walls?,Inscriptions and reliefs.,,/downloaded_images/img_1245.jpg
140.0,Temple_of_Isis_in_Philae,What's the main deity?,Isis,,/downloaded_images/img_1246.jpg
140.0,Temple_of_Isis_in_Philae,What is it an example of?,Temple complex.,,/downloaded_images/img_1247.jpg
140.0,Temple_of_Isis_in_Philae,Is it well-preserved?,"Yes, relocated & preserved.",,/downloaded_images/img_1248.jpg
140.0,Temple_of_Isis_in_Philae,Who was it saved by?,UNESCO Project,,/downloaded_images/img_1249.jpg
140.0,Temple_of_Isis_in_Philae,What blocked its original location?,Rising waters.,,/downloaded_images/img_1250.jpg
140.0,Temple_of_Isis_in_Philae,What religion was practiced here?,"Paganism, Egyptian",,/downloaded_images/img_1245.jpg
140.0,Temple_of_Isis_in_Philae,Can tourists visit?,"Yes, popular destination.",,/downloaded_images/img_1246.jpg
141.0,Blue_Hole_(Red_Sea),What country is this in?,Egypt,,/downloaded_images/img_1251.jpg
141.0,Blue_Hole_(Red_Sea),What sea is this in?,Red Sea,,/downloaded_images/img_1252.jpg
141.0,Blue_Hole_(Red_Sea),Is this dangerous?,Extremely dangerous,,/downloaded_images/img_1253.jpg
141.0,Blue_Hole_(Red_Sea),What shape is it?,Circular opening,,/downloaded_images/img_1254.jpg
141.0,Blue_Hole_(Red_Sea),What is the arch?,Underwater tunnel.,,/downloaded_images/img_1255.jpg
141.0,Blue_Hole_(Red_Sea),How deep is it?,94-130 meters,,/downloaded_images/img_1256.jpg
141.0,Blue_Hole_(Red_Sea),Is narcosis a risk?,"Yes, significant.",,/downloaded_images/img_1257.jpg
141.0,Blue_Hole_(Red_Sea),Is it a dive site?,"Yes, Dive Site.",,/downloaded_images/img_1258.jpg
141.0,Blue_Hole_(Red_Sea),What is its reputation?,Deadly dive,,/downloaded_images/img_1259.jpg
141.0,Blue_Hole_(Red_Sea),Is there a current?,"Yes, strong currents.",,/downloaded_images/img_1260.jpg
141.0,Blue_Hole_(Red_Sea),What is located near it?,Memorial plaques.,,/downloaded_images/img_1261.jpg
141.0,Blue_Hole_(Red_Sea),Is it easy to dive?,Extremely dangerous,,/downloaded_images/img_1262.jpg
141.0,Blue_Hole_(Red_Sea),Are there fatalities?,"Yes, many.",,/downloaded_images/img_1263.JPG
141.0,Blue_Hole_(Red_Sea),What connects to the sea?,The Arch.,,/downloaded_images/img_1264.jpg
141.0,Blue_Hole_(Red_Sea),What training is needed?,Technical diving.,,/downloaded_images/img_1265.jpg
141.0,Blue_Hole_(Red_Sea),What impairs judgement?,Nitrogen narcosis,,/downloaded_images/img_1266.jpg
141.0,Blue_Hole_(Red_Sea),Is it visually stunning?,"Yes, stunning.",,/downloaded_images/img_1267.jpg
141.0,Blue_Hole_(Red_Sea),Is it a sinkhole?,"Yes, submarine sinkhole.",,/downloaded_images/img_1268.jpg
141.0,Blue_Hole_(Red_Sea),Is it a cave?,Underwater cave,,/downloaded_images/img_1269.jpg
141.0,Blue_Hole_(Red_Sea),Is bottom time limited?,"Yes, very.",,/downloaded_images/img_1270.png
141.0,Blue_Hole_(Red_Sea),What is a key feature?,The Arch,,/downloaded_images/img_1271.jpg
141.0,Blue_Hole_(Red_Sea),Are there memorials?,"Yes, there are.",,/downloaded_images/img_1272.jpg
141.0,Blue_Hole_(Red_Sea),Is it a vertical shaft?,"Yes, vertical shaft",,/downloaded_images/img_1273.jpg
141.0,Blue_Hole_(Red_Sea),What gas is needed?,Mixed gas,,/downloaded_images/img_1274.jpg
141.0,Blue_Hole_(Red_Sea),What is at 55 meters?,The Arch,,/downloaded_images/img_1275.jpg
142.0,Baron_Empain_Palace,What is the building's name?,Baron Empain Palace,,/downloaded_images/img_1303.jpg
142.0,Baron_Empain_Palace,Who commissioned the palace?,Baron Édouard Empain,,/downloaded_images/img_1304.jpg
142.0,Baron_Empain_Palace,What architectural styles influenced it?,"Indian, Cambodian.",,/downloaded_images/img_1305.jpg
142.0,Baron_Empain_Palace,What city is it located in?,"Cairo, Egypt",,/downloaded_images/img_1306.JPG
142.0,Baron_Empain_Palace,What year was it completed?,1911,,/downloaded_images/img_1307.jpg
142.0,Baron_Empain_Palace,What is another name for it?,Le Palais Hindou,,/downloaded_images/img_1308.jpg
142.0,Baron_Empain_Palace,Who was the architect?,Alexandre Marcel,,/downloaded_images/img_1309.jpg
142.0,Baron_Empain_Palace,What is the palace now?,Cultural heritage site.,,/downloaded_images/img_1310.jpg
142.0,Baron_Empain_Palace,What was Heliopolis envisioned as?,Cosmopolitan city.,,/downloaded_images/img_1311.jpg
142.0,Baron_Empain_Palace,When did it reopen?,2020,,/downloaded_images/img_1312.jpg
142.0,Baron_Empain_Palace,What culture influenced the design?,Indian & Cambodian,,/downloaded_images/img_1313.JPG
142.0,Baron_Empain_Palace,What happened to the palace?,"Restored, reopened.",,/downloaded_images/img_1314.JPG
142.0,Baron_Empain_Palace,Is it in disrepair now?,"No, restored.",,/downloaded_images/img_1315.jpg
142.0,Baron_Empain_Palace,What's on the roof?,Roof ornamentation,,/downloaded_images/img_1316.JPG
142.0,Baron_Empain_Palace,What country is it in?,Egypt.,,/downloaded_images/img_1317.JPG
142.0,Baron_Empain_Palace,Was it once rumored haunted?,"Yes, it was.",,/downloaded_images/img_1318.png
142.0,Baron_Empain_Palace,Whose history does it document?,Empain and Heliopolis,,/downloaded_images/img_1319.jpg
142.0,Baron_Empain_Palace,What is the building's main color?,Cannot determine.,,/downloaded_images/img_1320.jpg
142.0,Baron_Empain_Palace,Is it a modern landmark?,"Yes, modern landmark.",,/downloaded_images/img_1321.jpg
142.0,Baron_Empain_Palace,Is it open to public?,"Yes, reopened",,/downloaded_images/img_1322.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What is this place?,Working Monastery,,/downloaded_images/img_1377.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Where is it located?,Sinai Peninsula,,/downloaded_images/img_1378.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What mountain is near?,Mount Sinai,,/downloaded_images/img_1379.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What century was it founded?,6th Century,,/downloaded_images/img_1380.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Who founded it?,Justinian I,,/downloaded_images/img_1381.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What is inside?,Art and manuscripts,,/downloaded_images/img_1382.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What is in the library?,Codices and manuscripts,,/downloaded_images/img_1383.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Is it a heritage site?,"Yes, UNESCO",,/downloaded_images/img_1384.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Which saint is linked?,Saint Catherine,,/downloaded_images/img_1385.JPG
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Is it still active?,"Yes, working.",,/downloaded_images/img_1386.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Is it religiously important?,"Yes, very.",,/downloaded_images/img_1387.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What faith is it?,Christian,,/downloaded_images/img_1388.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What is the style?,Byzantine architecture,,/downloaded_images/img_1389.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Is there art?,"Yes, mosaics.",,/downloaded_images/img_1390.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What year was the designation?,2002,,/downloaded_images/img_1391.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Is preservation happening?,Constant efforts,,/downloaded_images/img_1392.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What faith protects it?,Various faiths.,,/downloaded_images/img_1393.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What is preserved inside?,Art and manuscripts,,/downloaded_images/img_1394.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Does it have mosaics?,"Yes, mosaics.",,/downloaded_images/img_1395.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What empire built it?,Justinian I.,,/downloaded_images/img_1396.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Is it in Egypt?,"Yes, Egypt",,/downloaded_images/img_1397.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Is it near the Burning Bush?,Believed to be.,,/downloaded_images/img_1398.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What's inside the Basilica?,"Mosaics, Icons",,/downloaded_images/img_1399.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Are there manuscripts?,"Yes, world-renowned",,/downloaded_images/img_1400.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What is the library size ranking?,Second-largest.,,/downloaded_images/img_1401.jpg
143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Which peninsula is it in?,Sinai Peninsula,,/downloaded_images/img_1402.jpg
144.0,Faiyum_Zoo,Where is this zoo?,"Faiyum, Egypt",,/downloaded_images/img_1452.jpg
144.0,Faiyum_Zoo,What country is it in?,Egypt.,,/downloaded_images/img_1453.jpg
144.0,Faiyum_Zoo,What is viewed here?,Different animals.,,/downloaded_images/img_1454.jpg
144.0,Faiyum_Zoo,Is animal welfare good?,"No, poor.",,/downloaded_images/img_1455.jpg
144.0,Faiyum_Zoo,Are there concerns here?,"Yes, welfare.",,/downloaded_images/img_1452.jpg
144.0,Faiyum_Zoo,Is overcrowding present?,"Yes, overcrowding",,/downloaded_images/img_1453.jpg
144.0,Faiyum_Zoo,What's lacking for animals?,Inadequate care.,,/downloaded_images/img_1454.jpg
144.0,Faiyum_Zoo,Is care adequate here?,No.,,/downloaded_images/img_1455.jpg
144.0,Faiyum_Zoo,Is this a public space?,"Yes, it is.",,/downloaded_images/img_1452.jpg
144.0,Faiyum_Zoo,Where is Faiyum?,Southwest Cairo,,/downloaded_images/img_1453.jpg
145.0,Aguilkia_Island,What is on this island?,Temples of Philae,,/downloaded_images/img_1456.JPG
145.0,Aguilkia_Island,Where is this island?,Lake Nasser,,/downloaded_images/img_1457.jpg
145.0,Aguilkia_Island,What lake is it in?,Lake Nasser,,/downloaded_images/img_1458.jpg
145.0,Aguilkia_Island,What was relocated here?,Philae temples,,/downloaded_images/img_1456.JPG
145.0,Aguilkia_Island,Which temple is prominent?,Temple of Isis,,/downloaded_images/img_1457.jpg
145.0,Aguilkia_Island,Who was the temple for?,Isis.,,/downloaded_images/img_1458.jpg
145.0,Aguilkia_Island,Is this a heritage site?,"Yes, UNESCO.",,/downloaded_images/img_1456.JPG
145.0,Aguilkia_Island,How do you get here?,By boat,,/downloaded_images/img_1457.jpg
145.0,Aguilkia_Island,What dam caused relocation?,Aswan High,,/downloaded_images/img_1458.jpg
145.0,Aguilkia_Island,What is the main attraction?,Temple of Isis,,/downloaded_images/img_1456.JPG
145.0,Aguilkia_Island,Is Hathor Temple present?,"Yes, present.",,/downloaded_images/img_1457.jpg
145.0,Aguilkia_Island,From where can you boat?,"Aswan, Egypt.",,/downloaded_images/img_1458.jpg
145.0,Aguilkia_Island,When was Philae submerged?,1960s.,,/downloaded_images/img_1456.JPG
145.0,Aguilkia_Island,What structure was moved?,Philae temples,,/downloaded_images/img_1457.jpg
145.0,Aguilkia_Island,Is this in Southern Egypt?,"Yes, it is.",,/downloaded_images/img_1458.jpg
145.0,Aguilkia_Island,Is the site Nubian?,"Yes, Nubian.",,/downloaded_images/img_1456.JPG
145.0,Aguilkia_Island,Is this a popular site?,"Yes, tourist destination.",,/downloaded_images/img_1457.jpg
145.0,Aguilkia_Island,Was it rebuilt?,"Yes, rebuilt.",,/downloaded_images/img_1458.jpg
145.0,Aguilkia_Island,What goddess worshipped?,Isis.,,/downloaded_images/img_1456.JPG
145.0,Aguilkia_Island,Was Philae flooded?,"Yes, Philae",,/downloaded_images/img_1457.jpg
146.0,Hanging_Church_(Cairo),What is the church's formal name?,Saint Virgin Mary's,,/downloaded_images/img_1459.jpg
146.0,Hanging_Church_(Cairo),What city is it located in?,Cairo.,,/downloaded_images/img_1460.jpg
146.0,Hanging_Church_(Cairo),What structure is it built atop?,Roman Babylon Fortress,,/downloaded_images/img_1461.jpg
146.0,Hanging_Church_(Cairo),What is unique about its location?,Elevated above ground.,,/downloaded_images/img_1462.jpg
146.0,Hanging_Church_(Cairo),When was it likely built?,7th/8th century,,/downloaded_images/img_1463.jpg
146.0,Hanging_Church_(Cairo),What does the roof resemble?,Noah's Ark,,/downloaded_images/img_1464.jpg
146.0,Hanging_Church_(Cairo),How many sanctuaries are there?,Three sanctuaries,,/downloaded_images/img_1465.jpg
146.0,Hanging_Church_(Cairo),What are the icons known for?,Smiling Christ.,,/downloaded_images/img_1466.JPG
146.0,Hanging_Church_(Cairo),Which district is it in?,Coptic Cairo,,/downloaded_images/img_1467.jpg
146.0,Hanging_Church_(Cairo),What kind of church is it?,Coptic Christian,,/downloaded_images/img_1468.JPG
146.0,Hanging_Church_(Cairo),What gate is it above?,Babylon Fortress,,/downloaded_images/img_1469.jpg
146.0,Hanging_Church_(Cairo),Who visits this church?,Coptic Christians,,/downloaded_images/img_1470.jpg
146.0,Hanging_Church_(Cairo),What material are the pulpits?,Inlaid marble,,/downloaded_images/img_1471.jpg
146.0,Hanging_Church_(Cairo),What number of icons are there?,117 icons,,/downloaded_images/img_1472.jpg
146.0,Hanging_Church_(Cairo),What is located in Coptic Cairo?,Hanging Church,,/downloaded_images/img_1473.jpg
146.0,Hanging_Church_(Cairo),Is it still a place of worship?,"Yes, ongoing services.",,/downloaded_images/img_1459.jpg
146.0,Hanging_Church_(Cairo),What is a key architectural feature?,Elevated structure.,,/downloaded_images/img_1460.jpg
146.0,Hanging_Church_(Cairo),Who is the church dedicated to?,Virgin Mary,,/downloaded_images/img_1461.jpg
146.0,Hanging_Church_(Cairo),What sea did Noah cross?,Not mentioned.,,/downloaded_images/img_1462.jpg
146.0,Hanging_Church_(Cairo),What era does it date to?,7th-8th Century,,/downloaded_images/img_1463.jpg
147.0,Qubbet_el-Hawa,Where is this site located?,West bank Nile.,,/downloaded_images/img_1474.JPG
147.0,Qubbet_el-Hawa,What river is nearby?,Nile River,,/downloaded_images/img_1475.jpg
147.0,Qubbet_el-Hawa,What kingdom is this from?,Old and Middle,,/downloaded_images/img_1476.jpg
147.0,Qubbet_el-Hawa,"What is ""Dome of the Wind"" in Arabic?",Qubbet el-Hawa,,/downloaded_images/img_1477.jpg
147.0,Qubbet_el-Hawa,Who traveled to Nubia?,"Harkhuf, Pepi Nakht",,/downloaded_images/img_1478.JPG
147.0,Qubbet_el-Hawa,What is the time period?,Old/Middle Kingdoms,,/downloaded_images/img_1479.JPG
147.0,Qubbet_el-Hawa,Who was Sarenput?,Governor of Elephantine,,/downloaded_images/img_1474.JPG
147.0,Qubbet_el-Hawa,What island is overlooked?,Elephantine Island,,/downloaded_images/img_1475.jpg
147.0,Qubbet_el-Hawa,What threatens this site?,"Erosion, development.",,/downloaded_images/img_1476.jpg
147.0,Qubbet_el-Hawa,What kind of site is this?,Archaeological site,,/downloaded_images/img_1477.jpg
147.0,Qubbet_el-Hawa,Who was buried here?,"Officials, families",,/downloaded_images/img_1478.JPG
147.0,Qubbet_el-Hawa,What does it control access to?,Nubia,,/downloaded_images/img_1479.JPG
147.0,Qubbet_el-Hawa,When was Harkhuf alive?,Old Kingdom,,/downloaded_images/img_1474.JPG
147.0,Qubbet_el-Hawa,Which university excavates here?,Birmingham University,,/downloaded_images/img_1475.jpg
147.0,Qubbet_el-Hawa,What is being discovered?,Ancient Egyptian history,,/downloaded_images/img_1476.jpg
147.0,Qubbet_el-Hawa,Where was Sarenput governor?,Elephantine Island,,/downloaded_images/img_1477.jpg
147.0,Qubbet_el-Hawa,What official lead military expeditions?,Pepi Nakht,,/downloaded_images/img_1478.JPG
147.0,Qubbet_el-Hawa,Which Cataract is nearby?,First Cataract,,/downloaded_images/img_1479.JPG
147.0,Qubbet_el-Hawa,What's on the hilltop?,Islamic tomb,,/downloaded_images/img_1474.JPG
147.0,Qubbet_el-Hawa,What is found in tombs?,"Inscriptions, Artifacts",,/downloaded_images/img_1475.jpg
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What deity is honored?,Hathor (primarily),,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What era was it built?,Ptolemaic Dynasty,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Where is this temple?,Deir el-Medina,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Who built royal tombs?,Artisans of Deir-el-Medina,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Is it well-preserved?,Relatively well.,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What kind of hall is inside?,Hypostyle Hall,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Is it brightly colored?,Often yes.,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What dynasty ruled then?,Ptolemaic Dynasty,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What is its main purpose?,Local temple.,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What is near Luxor?,Deir el-Medina,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What bank is it on?,West bank.,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Was it used in Roman times?,"Yes, Roman Period",,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What do reliefs show?,"Worship, Mythology.",,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Is it a late temple?,Relatively late.,,/downloaded_images/img_1480.JPG
148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Who worked here?,"Artisans, families.",,/downloaded_images/img_1480.JPG
149.0,Tomb_of_Nakht_TT52,Who owned this tomb?,"Nakht, Taweret",,/downloaded_images/img_1481.JPG
149.0,Tomb_of_Nakht_TT52,What was Nakht's profession?,Scribe and astronomer,,/downloaded_images/img_1482.jpg
149.0,Tomb_of_Nakht_TT52,Who was Nakht's wife?,Taweret.,,/downloaded_images/img_1483.JPG
149.0,Tomb_of_Nakht_TT52,Where is this tomb located?,Theban Necropolis,,/downloaded_images/img_1484.jpg
149.0,Tomb_of_Nakht_TT52,What area is it in?,Theban Necropolis,,/downloaded_images/img_1481.JPG
149.0,Tomb_of_Nakht_TT52,What is depicted often?,Daily life scenes,,/downloaded_images/img_1482.jpg
149.0,Tomb_of_Nakht_TT52,Are scenes vibrant?,"Yes, vibrant.",,/downloaded_images/img_1483.JPG
149.0,Tomb_of_Nakht_TT52,Is the tomb large or small?,Small.,,/downloaded_images/img_1484.jpg
149.0,Tomb_of_Nakht_TT52,Is it well-preserved?,"Yes, well-preserved.",,/downloaded_images/img_1481.JPG
149.0,Tomb_of_Nakht_TT52,Are paintings detailed?,"Yes, detailed.",,/downloaded_images/img_1482.jpg
149.0,Tomb_of_Nakht_TT52,Who ruled during Nakht's life?,Thutmose IV,,/downloaded_images/img_1483.JPG
149.0,Tomb_of_Nakht_TT52,What dynasty was it?,18th Dynasty,,/downloaded_images/img_1484.jpg
149.0,Tomb_of_Nakht_TT52,Is the tomb accessible?,Generally open.,,/downloaded_images/img_1481.JPG
149.0,Tomb_of_Nakht_TT52,Is looting common?,Not extensively.,,/downloaded_images/img_1482.jpg
149.0,Tomb_of_Nakht_TT52,What scenes are shown?,"Daily life, rituals",,/downloaded_images/img_1483.JPG
149.0,Tomb_of_Nakht_TT52,Is it in Egypt?,"Yes, Egypt",,/downloaded_images/img_1484.jpg
149.0,Tomb_of_Nakht_TT52,Is it on the West Bank?,"Yes, Theban",,/downloaded_images/img_1481.JPG
149.0,Tomb_of_Nakht_TT52,What kind of scribe was he?,Astronomer and scribe.,,/downloaded_images/img_1482.jpg
149.0,Tomb_of_Nakht_TT52,What is shown at banquets?,"Musicians, dancers",,/downloaded_images/img_1483.JPG
149.0,Tomb_of_Nakht_TT52,Are colors dull or bright?,Bright colors,,/downloaded_images/img_1484.jpg
150.0,Abdeen_Palace,Is this in Cairo?,"Yes, Cairo.",,/downloaded_images/img_1485.jpg
150.0,Abdeen_Palace,What century was it built?,19th century,,/downloaded_images/img_1486.jpg
150.0,Abdeen_Palace,Is it a presidential residence?,Former Residence,,/downloaded_images/img_1487.jpg
150.0,Abdeen_Palace,Does it have gardens?,"Yes, extensive.",,/downloaded_images/img_1488.jpg
150.0,Abdeen_Palace,Is it a royal palace?,"Yes, royal.",,/downloaded_images/img_1489.jpg
150.0,Abdeen_Palace,Does it have museums?,"Yes, it does.",,/downloaded_images/img_1490.jpg
150.0,Abdeen_Palace,Is it still used officially?,Occasionally.,,/downloaded_images/img_1491.jpg
150.0,Abdeen_Palace,What's its architectural style?,European-influenced blend,,/downloaded_images/img_1492.jpg
150.0,Abdeen_Palace,Was it owned by Abdeen Bey?,Former mansion site.,,/downloaded_images/img_1493.jpg
150.0,Abdeen_Palace,Is design European-influenced?,"Yes, Primarily.",,/downloaded_images/img_1494.JPG
150.0,Abdeen_Palace,What's housed inside?,"Museums, Artifacts",,/downloaded_images/img_1495.jpg
150.0,Abdeen_Palace,Is it luxuriously decorated?,"Yes, lavishly.",,/downloaded_images/img_1496.jpg
150.0,Abdeen_Palace,What revolution ended its use?,1952 revolution,,/downloaded_images/img_1497.jpg
150.0,Abdeen_Palace,Whose reign used it?,Khedive Ismail,,/downloaded_images/img_1498.jpg
150.0,Abdeen_Palace,What era does it symbolize?,Royal rule,,/downloaded_images/img_1499.jpg
150.0,Abdeen_Palace,Is it a historical landmark?,"Yes, it is.",,/downloaded_images/img_1500.JPG
150.0,Abdeen_Palace,Is crystal displayed there?,"Yes, crystal.",,/downloaded_images/img_1501.JPG
150.0,Abdeen_Palace,Are there paintings inside?,"Yes, paintings.",,/downloaded_images/img_1502.jpg
150.0,Abdeen_Palace,Is it Neoclassical?,"Yes, partly.",,/downloaded_images/img_1503.jpg
150.0,Abdeen_Palace,Does it have royal gifts?,"Yes, houses.",,/downloaded_images/img_1504.jpg
151.0,Deir_el-Medina,What is this site's name?,Deir el-Medina,,/downloaded_images/img_1542.jpg
151.0,Deir_el-Medina,Where was this village located?,West bank Nile,,/downloaded_images/img_1543.jpg
151.0,Deir_el-Medina,What period was it inhabited?,New Kingdom,,/downloaded_images/img_1544.jpg
151.0,Deir_el-Medina,Who lived in this village?,Artisans & Craftsmen,,/downloaded_images/img_1545.jpg
151.0,Deir_el-Medina,What did they build?,Royal Tombs,,/downloaded_images/img_1546.jpg
151.0,Deir_el-Medina,Where did they work?,Royal Tombs,,/downloaded_images/img_1547.JPG
151.0,Deir_el-Medina,What provides insights here?,Ostraca and Papyri,,/downloaded_images/img_1549.JPG
151.0,Deir_el-Medina,What materials did they write on?,Ostraca and papyri,,/downloaded_images/img_1550.jpg
151.0,Deir_el-Medina,What kind of documents are found?,Ostraca & Papyri,,/downloaded_images/img_1551.JPG
151.0,Deir_el-Medina,Did they experience labor unrest?,"Yes, documented.",,/downloaded_images/img_1552.jpg
151.0,Deir_el-Medina,Were they religious?,Deeply religious,,/downloaded_images/img_1553.jpg
151.0,Deir_el-Medina,Which goddess had a temple there?,Hathor Goddess,,/downloaded_images/img_1554.jpg
151.0,Deir_el-Medina,What is the site isolated by?,Natural amphitheater,,/downloaded_images/img_1555.jpg
151.0,Deir_el-Medina,What surrounds the site?,The surrounding desert.,,/downloaded_images/img_1556.jpg
151.0,Deir_el-Medina,What does this reveal?,Everyday realities.,,/downloaded_images/img_1557.jpg
151.0,Deir_el-Medina,Whose lives does this show?,Ordinary Egyptians.,,/downloaded_images/img_1558.jpg
151.0,Deir_el-Medina,Is this well-preserved?,"Yes, well-preserved.",,/downloaded_images/img_1560.jpg
151.0,Deir_el-Medina,Were they literate?,Generally literate.,,/downloaded_images/img_1561.jpg
151.0,Deir_el-Medina,Where is this opposite of?,Luxor (Thebes),,/downloaded_images/img_1562.jpg
151.0,Deir_el-Medina,Is the image idealized?,Probably not.,,/downloaded_images/img_1563.JPG
151.0,Deir_el-Medina,What is found in the village?,Chapels and shrines,,/downloaded_images/img_1564.jpg
151.0,Deir_el-Medina,What are they often called?,Skilled workers.,,/downloaded_images/img_1565.jpg
151.0,Deir_el-Medina,What is Luxor's ancient name?,Ancient Thebes,,/downloaded_images/img_1566.jpg
151.0,Deir_el-Medina,What kind of workers were they?,Skilled artisans,,/downloaded_images/img_1567.jpg
151.0,Deir_el-Medina,Did they have families?,"Yes, families.",,/downloaded_images/img_1568.jpg
151.0,Deir_el-Medina,What system was there?,Rations distribution.,,/downloaded_images/img_1569.jpg
151.0,Deir_el-Medina,Where do they have shrines?,Within the village.,,/downloaded_images/img_1570.JPG
151.0,Deir_el-Medina,What is the modern name?,Monastery of City,,/downloaded_images/img_1571.jpg
