,Index,Concept,Question,Answer
479,126.0,"St._Catherine's_Cathedral,_Alexandria",Which ceremony type,
480,126.0,"St._Catherine's_Cathedral,_Alexandria",What offering present,
481,126.0,"St._Catherine's_Cathedral,_Alexandria",Which religious symbol,
482,126.0,"St._Catherine's_Cathedral,_Alexandria",What scripture shown,
483,126.0,"St._Catherine's_Cathedral,_Alexandria",Which holy place,
484,126.0,"St._Catherine's_Cathedral,_Alexandria",What architectural style,
485,126.0,"St._Catherine's_Cathedral,_Alexandria",Which festival shown,
486,127.0,Giza_pyramid_complex,What Cultural Category does the object in the image belong to,Famous Landmarks
487,127.0,Giza_pyramid_complex,Where exactly located,
488,127.0,Giza_pyramid_complex,When established,
489,127.0,Giza_pyramid_complex,Who built it,
490,127.0,Giza_pyramid_complex,Which ruler commissioned,
491,127.0,Giza_pyramid_complex,Which architectural style,
492,127.0,Giza_pyramid_complex,What original name,
493,127.0,Giza_pyramid_complex,What primary material,
494,127.0,Giza_pyramid_complex,What purpose served,
495,128.0,Monastery_of_Saint_Anthony,What Cultural Category does the object in the image belong to,Religion and belief
496,128.0,Monastery_of_Saint_Anthony,Which religion represented,
497,128.0,Monastery_of_Saint_Anthony,Which deity worshipped,
498,128.0,Monastery_of_Saint_Anthony,What ritual performed,
499,128.0,Monastery_of_Saint_Anthony,Which ceremony type,
500,128.0,Monastery_of_Saint_Anthony,What offering present,
501,128.0,Monastery_of_Saint_Anthony,Which religious symbol,
502,128.0,Monastery_of_Saint_Anthony,What scripture shown,
503,128.0,Monastery_of_Saint_Anthony,Which holy place,
504,128.0,Monastery_of_Saint_Anthony,What architectural style,
505,128.0,Monastery_of_Saint_Anthony,Which festival shown,
506,129.0,Alexandria_Opera_House,What Cultural Category does the object in the image belong to,Famous Landmarks
507,129.0,Alexandria_Opera_House,Where exactly located,
508,129.0,Alexandria_Opera_House,When established,
509,129.0,Alexandria_Opera_House,Who built it,
510,129.0,Alexandria_Opera_House,Which ruler commissioned,
511,129.0,Alexandria_Opera_House,Which architectural style,
512,129.0,Alexandria_Opera_House,What original name,
513,129.0,Alexandria_Opera_House,What primary material,
514,129.0,Alexandria_Opera_House,What purpose served,
515,130.0,Sphinx_of_Memphis,What Cultural Category does the object in the image belong to,Famous Landmarks
516,130.0,Sphinx_of_Memphis,Where exactly located,
517,130.0,Sphinx_of_Memphis,When established,
518,130.0,Sphinx_of_Memphis,Who built it,
519,130.0,Sphinx_of_Memphis,Which ruler commissioned,
520,130.0,Sphinx_of_Memphis,Which architectural style,
521,130.0,Sphinx_of_Memphis,What original name,
522,130.0,Sphinx_of_Memphis,What primary material,
523,130.0,Sphinx_of_Memphis,What purpose served,
524,131.0,Grand_Egyptian_Museum,What Cultural Category does the object in the image belong to,Historical Artifacts
525,131.0,Grand_Egyptian_Museum,What object type,
526,131.0,Grand_Egyptian_Museum,Which era dates,
527,131.0,Grand_Egyptian_Museum,Which civilization made,
528,131.0,Grand_Egyptian_Museum,What material crafted,
529,131.0,Grand_Egyptian_Museum,Which purpose served,
530,131.0,Grand_Egyptian_Museum,What inscription reads,
531,131.0,Grand_Egyptian_Museum,What decorative motif,
532,131.0,Grand_Egyptian_Museum,Which museum houses,
533,131.0,Grand_Egyptian_Museum,When discovered,
534,131.0,Grand_Egyptian_Museum,What condition status,
535,132.0,Kom_el-Shoqafa,What Cultural Category does the object in the image belong to,Famous Landmarks
536,132.0,Kom_el-Shoqafa,Where exactly located,
537,132.0,Kom_el-Shoqafa,When established,
538,132.0,Kom_el-Shoqafa,Who built it,
539,132.0,Kom_el-Shoqafa,Which ruler commissioned,
540,132.0,Kom_el-Shoqafa,Which architectural style,
541,132.0,Kom_el-Shoqafa,What original name,
542,132.0,Kom_el-Shoqafa,What primary material,
543,132.0,Kom_el-Shoqafa,What purpose served,
544,133.0,Qaed_Ibrahim_Mosque,What Cultural Category does the object in the image belong to,Religion and belief
545,133.0,Qaed_Ibrahim_Mosque,Which religion represented,
546,133.0,Qaed_Ibrahim_Mosque,Which deity worshipped,
547,133.0,Qaed_Ibrahim_Mosque,What ritual performed,
548,133.0,Qaed_Ibrahim_Mosque,Which ceremony type,
549,133.0,Qaed_Ibrahim_Mosque,What offering present,
550,133.0,Qaed_Ibrahim_Mosque,Which religious symbol,
551,133.0,Qaed_Ibrahim_Mosque,What scripture shown,
552,133.0,Qaed_Ibrahim_Mosque,Which holy place,
553,133.0,Qaed_Ibrahim_Mosque,What architectural style,
554,133.0,Qaed_Ibrahim_Mosque,Which festival shown,
555,134.0,Khayrbak_Mosque,What Cultural Category does the object in the image belong to,Famous Landmarks
556,134.0,Khayrbak_Mosque,Where exactly located,
557,134.0,Khayrbak_Mosque,When established,
558,134.0,Khayrbak_Mosque,Who built it,
559,134.0,Khayrbak_Mosque,Which ruler commissioned,
560,134.0,Khayrbak_Mosque,Which architectural style,
561,134.0,Khayrbak_Mosque,What original name,
562,134.0,Khayrbak_Mosque,What primary material,
563,134.0,Khayrbak_Mosque,What purpose served,
564,135.0,Ramesseum,What Cultural Category does the object in the image belong to,Famous Landmarks
565,135.0,Ramesseum,Where exactly located,
566,135.0,Ramesseum,When established,
567,135.0,Ramesseum,Who built it,
568,135.0,Ramesseum,Which ruler commissioned,
569,135.0,Ramesseum,Which architectural style,
570,135.0,Ramesseum,What original name,
571,135.0,Ramesseum,What primary material,
572,135.0,Ramesseum,What purpose served,
573,136.0,Al-Qurn,What Cultural Category does the object in the image belong to,Famous Landmarks
574,136.0,Al-Qurn,Where exactly located,
575,136.0,Al-Qurn,When established,
576,136.0,Al-Qurn,Who built it,
577,136.0,Al-Qurn,Which ruler commissioned,
578,136.0,Al-Qurn,Which architectural style,
579,136.0,Al-Qurn,What original name,
580,136.0,Al-Qurn,What primary material,
581,136.0,Al-Qurn,What purpose served,
582,137.0,"Garden_City,_Cairo",What Cultural Category does the object in the image belong to,Famous Landmarks
583,137.0,"Garden_City,_Cairo",Where exactly located,
584,137.0,"Garden_City,_Cairo",When established,
585,137.0,"Garden_City,_Cairo",Who built it,
586,137.0,"Garden_City,_Cairo",Which ruler commissioned,
587,137.0,"Garden_City,_Cairo",Which architectural style,
588,137.0,"Garden_City,_Cairo",What original name,
589,137.0,"Garden_City,_Cairo",What primary material,
590,137.0,"Garden_City,_Cairo",What purpose served,
591,138.0,Tomb_of_Nefertari,What Cultural Category does the object in the image belong to,Famous Landmarks
592,138.0,Tomb_of_Nefertari,Where exactly located,
593,138.0,Tomb_of_Nefertari,When established,
594,138.0,Tomb_of_Nefertari,Who built it,
595,138.0,Tomb_of_Nefertari,Which ruler commissioned,
596,138.0,Tomb_of_Nefertari,Which architectural style,
597,138.0,Tomb_of_Nefertari,What original name,
598,138.0,Tomb_of_Nefertari,What primary material,
599,138.0,Tomb_of_Nefertari,What purpose served,
600,139.0,Monastery_of_Saint_Simeon_in_Aswan,What Cultural Category does the object in the image belong to,Famous Landmarks
601,139.0,Monastery_of_Saint_Simeon_in_Aswan,Where exactly located,
602,139.0,Monastery_of_Saint_Simeon_in_Aswan,When established,
603,139.0,Monastery_of_Saint_Simeon_in_Aswan,Who built it,
604,139.0,Monastery_of_Saint_Simeon_in_Aswan,Which ruler commissioned,
605,139.0,Monastery_of_Saint_Simeon_in_Aswan,Which architectural style,
606,139.0,Monastery_of_Saint_Simeon_in_Aswan,What original name,
607,139.0,Monastery_of_Saint_Simeon_in_Aswan,What primary material,
608,139.0,Monastery_of_Saint_Simeon_in_Aswan,What purpose served,
609,140.0,Temple_of_Isis_in_Philae,What Cultural Category does the object in the image belong to,Famous Landmarks
610,140.0,Temple_of_Isis_in_Philae,Where exactly located,
611,140.0,Temple_of_Isis_in_Philae,When established,
612,140.0,Temple_of_Isis_in_Philae,Who built it,
613,140.0,Temple_of_Isis_in_Philae,Which ruler commissioned,
614,140.0,Temple_of_Isis_in_Philae,Which architectural style,
615,140.0,Temple_of_Isis_in_Philae,What original name,
616,140.0,Temple_of_Isis_in_Philae,What primary material,
617,140.0,Temple_of_Isis_in_Philae,What purpose served,
618,141.0,Blue_Hole_(Red_Sea),What Cultural Category does the object in the image belong to,Natural scenery and Ecosystem
619,141.0,Blue_Hole_(Red_Sea),Which landscape type,
620,141.0,Blue_Hole_(Red_Sea),Which biome present,
621,141.0,Blue_Hole_(Red_Sea),Which region located,
622,141.0,Blue_Hole_(Red_Sea),What season shown,
623,141.0,Blue_Hole_(Red_Sea),Which water body,
624,141.0,Blue_Hole_(Red_Sea),Which mountain range,
625,141.0,Blue_Hole_(Red_Sea),What vegetation type,
626,141.0,Blue_Hole_(Red_Sea),Which wildlife species,
627,141.0,Blue_Hole_(Red_Sea),What protection status,
628,141.0,Blue_Hole_(Red_Sea),Which ecological reserve,
629,142.0,Baron_Empain_Palace,What Cultural Category does the object in the image belong to,Famous Landmarks
630,142.0,Baron_Empain_Palace,Where exactly located,
631,142.0,Baron_Empain_Palace,When established,
632,142.0,Baron_Empain_Palace,Who built it,
633,142.0,Baron_Empain_Palace,Which ruler commissioned,
634,142.0,Baron_Empain_Palace,Which architectural style,
635,142.0,Baron_Empain_Palace,What original name,
636,142.0,Baron_Empain_Palace,What primary material,
637,142.0,Baron_Empain_Palace,What purpose served,
638,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What Cultural Category does the object in the image belong to,Famous Landmarks
639,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Where exactly located,
640,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",When established,
641,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Who built it,
642,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Which ruler commissioned,
643,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",Which architectural style,
644,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What original name,
645,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What primary material,
646,143.0,"Saint_Catherine's_Monastery,_Mount_Sinai",What purpose served,
647,144.0,Faiyum_Zoo,What Cultural Category does the object in the image belong to,Famous Landmarks
648,144.0,Faiyum_Zoo,Where exactly located,
649,144.0,Faiyum_Zoo,When established,
650,144.0,Faiyum_Zoo,Who built it,
651,144.0,Faiyum_Zoo,Which ruler commissioned,
652,144.0,Faiyum_Zoo,Which architectural style,
653,144.0,Faiyum_Zoo,What original name,
654,144.0,Faiyum_Zoo,What primary material,
655,144.0,Faiyum_Zoo,What purpose served,
656,145.0,Aguilkia_Island,What Cultural Category does the object in the image belong to,"To provide a classification, I need the Wikipedia summary you mentioned. Please provide the summary of the Aguilkia Island Wikipedia page. Then I will be able to select the most appropriate category from your list."
657,146.0,Hanging_Church_(Cairo),What Cultural Category does the object in the image belong to,Religion and belief
658,146.0,Hanging_Church_(Cairo),Which religion represented,
659,146.0,Hanging_Church_(Cairo),Which deity worshipped,
660,146.0,Hanging_Church_(Cairo),What ritual performed,
661,146.0,Hanging_Church_(Cairo),Which ceremony type,
662,146.0,Hanging_Church_(Cairo),What offering present,
663,146.0,Hanging_Church_(Cairo),Which religious symbol,
664,146.0,Hanging_Church_(Cairo),What scripture shown,
665,146.0,Hanging_Church_(Cairo),Which holy place,
666,146.0,Hanging_Church_(Cairo),What architectural style,
667,146.0,Hanging_Church_(Cairo),Which festival shown,
668,147.0,Qubbet_el-Hawa,What Cultural Category does the object in the image belong to,Famous Landmarks
669,147.0,Qubbet_el-Hawa,Where exactly located,
670,147.0,Qubbet_el-Hawa,When established,
671,147.0,Qubbet_el-Hawa,Who built it,
672,147.0,Qubbet_el-Hawa,Which ruler commissioned,
673,147.0,Qubbet_el-Hawa,Which architectural style,
674,147.0,Qubbet_el-Hawa,What original name,
675,147.0,Qubbet_el-Hawa,What primary material,
676,147.0,Qubbet_el-Hawa,What purpose served,
677,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What Cultural Category does the object in the image belong to,Famous Landmarks
678,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Where exactly located,
679,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,When established,
680,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Who built it,
681,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Which ruler commissioned,
682,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,Which architectural style,
683,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What original name,
684,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What primary material,
685,148.0,Ptolemaic_Temple_of_Hathor_in_Deir_el-Medina,What purpose served,
686,149.0,Tomb_of_Nakht_TT52,What Cultural Category does the object in the image belong to,Famous Landmarks
687,149.0,Tomb_of_Nakht_TT52,Where exactly located,
688,149.0,Tomb_of_Nakht_TT52,When established,
689,149.0,Tomb_of_Nakht_TT52,Who built it,
690,149.0,Tomb_of_Nakht_TT52,Which ruler commissioned,
691,149.0,Tomb_of_Nakht_TT52,Which architectural style,
692,149.0,Tomb_of_Nakht_TT52,What original name,
693,149.0,Tomb_of_Nakht_TT52,What primary material,
694,149.0,Tomb_of_Nakht_TT52,What purpose served,
695,150.0,Abdeen_Palace,What Cultural Category does the object in the image belong to,Famous Landmarks
696,150.0,Abdeen_Palace,Where exactly located,
697,150.0,Abdeen_Palace,When established,
698,150.0,Abdeen_Palace,Who built it,
699,150.0,Abdeen_Palace,Which ruler commissioned,
700,150.0,Abdeen_Palace,Which architectural style,
701,150.0,Abdeen_Palace,What original name,
702,150.0,Abdeen_Palace,What primary material,
703,150.0,Abdeen_Palace,What purpose served,
704,151.0,Deir_el-Medina,What Cultural Category does the object in the image belong to,Famous Landmarks
705,151.0,Deir_el-Medina,Where exactly located,
706,151.0,Deir_el-Medina,When established,
707,151.0,Deir_el-Medina,Who built it,
708,151.0,Deir_el-Medina,Which ruler commissioned,
709,151.0,Deir_el-Medina,Which architectural style,
710,151.0,Deir_el-Medina,What original name,
711,151.0,Deir_el-Medina,What primary material,
712,151.0,Deir_el-Medina,What purpose served,
713,152.0,Egyptian_National_Military_Museum,What Cultural Category does the object in the image belong to,Historical Artifacts
714,152.0,Egyptian_National_Military_Museum,What object type,
715,152.0,Egyptian_National_Military_Museum,Which era dates,
716,152.0,Egyptian_National_Military_Museum,Which civilization made,
717,152.0,Egyptian_National_Military_Museum,What material crafted,
718,152.0,Egyptian_National_Military_Museum,Which purpose served,
719,152.0,Egyptian_National_Military_Museum,What inscription reads,
720,152.0,Egyptian_National_Military_Museum,What decorative motif,
721,152.0,Egyptian_National_Military_Museum,Which museum houses,
722,152.0,Egyptian_National_Military_Museum,When discovered,
723,152.0,Egyptian_National_Military_Museum,What condition status,
724,153.0,Madrasah_of_Al-Nasir_Muhammad,What Cultural Category does the object in the image belong to,Famous Landmarks
725,153.0,Madrasah_of_Al-Nasir_Muhammad,Where exactly located,
726,153.0,Madrasah_of_Al-Nasir_Muhammad,When established,
727,153.0,Madrasah_of_Al-Nasir_Muhammad,Who built it,
728,153.0,Madrasah_of_Al-Nasir_Muhammad,Which ruler commissioned,
729,153.0,Madrasah_of_Al-Nasir_Muhammad,Which architectural style,
730,153.0,Madrasah_of_Al-Nasir_Muhammad,What original name,
731,153.0,Madrasah_of_Al-Nasir_Muhammad,What primary material,
732,153.0,Madrasah_of_Al-Nasir_Muhammad,What purpose served,
733,154.0,Al-Manyal_Palace_Museum,What Cultural Category does the object in the image belong to,Historical Artifacts
734,154.0,Al-Manyal_Palace_Museum,What object type,
735,154.0,Al-Manyal_Palace_Museum,Which era dates,
736,154.0,Al-Manyal_Palace_Museum,Which civilization made,
737,154.0,Al-Manyal_Palace_Museum,What material crafted,
738,154.0,Al-Manyal_Palace_Museum,Which purpose served,
739,154.0,Al-Manyal_Palace_Museum,What inscription reads,
740,154.0,Al-Manyal_Palace_Museum,What decorative motif,
741,154.0,Al-Manyal_Palace_Museum,Which museum houses,
742,154.0,Al-Manyal_Palace_Museum,When discovered,
743,154.0,Al-Manyal_Palace_Museum,What condition status,
744,155.0,Monastery_of_Saint_Samuel_the_Confessor,What Cultural Category does the object in the image belong to,Religion and belief
745,155.0,Monastery_of_Saint_Samuel_the_Confessor,Which religion represented,
746,155.0,Monastery_of_Saint_Samuel_the_Confessor,Which deity worshipped,
747,155.0,Monastery_of_Saint_Samuel_the_Confessor,What ritual performed,
748,155.0,Monastery_of_Saint_Samuel_the_Confessor,Which ceremony type,
749,155.0,Monastery_of_Saint_Samuel_the_Confessor,What offering present,
750,155.0,Monastery_of_Saint_Samuel_the_Confessor,Which religious symbol,
751,155.0,Monastery_of_Saint_Samuel_the_Confessor,What scripture shown,
752,155.0,Monastery_of_Saint_Samuel_the_Confessor,Which holy place,
753,155.0,Monastery_of_Saint_Samuel_the_Confessor,What architectural style,
754,155.0,Monastery_of_Saint_Samuel_the_Confessor,Which festival shown,
755,156.0,Meidum,What Cultural Category does the object in the image belong to,Famous Landmarks
756,156.0,Meidum,Where exactly located,
757,156.0,Meidum,When established,
758,156.0,Meidum,Who built it,
759,156.0,Meidum,Which ruler commissioned,
760,156.0,Meidum,Which architectural style,
761,156.0,Meidum,What original name,
762,156.0,Meidum,What primary material,
763,156.0,Meidum,What purpose served,
764,157.0,Abu_el-Abbas_el-Mursi_Mosque,What Cultural Category does the object in the image belong to,Religion and belief
765,157.0,Abu_el-Abbas_el-Mursi_Mosque,Which religion represented,
766,157.0,Abu_el-Abbas_el-Mursi_Mosque,Which deity worshipped,
767,157.0,Abu_el-Abbas_el-Mursi_Mosque,What ritual performed,
768,157.0,Abu_el-Abbas_el-Mursi_Mosque,Which ceremony type,
769,157.0,Abu_el-Abbas_el-Mursi_Mosque,What offering present,
770,157.0,Abu_el-Abbas_el-Mursi_Mosque,Which religious symbol,
771,157.0,Abu_el-Abbas_el-Mursi_Mosque,What scripture shown,
772,157.0,Abu_el-Abbas_el-Mursi_Mosque,Which holy place,
773,157.0,Abu_el-Abbas_el-Mursi_Mosque,What architectural style,
774,157.0,Abu_el-Abbas_el-Mursi_Mosque,Which festival shown,
775,158.0,Theban_Necropolis,What Cultural Category does the object in the image belong to,Famous Landmarks
776,158.0,Theban_Necropolis,Where exactly located,
777,158.0,Theban_Necropolis,When established,
778,158.0,Theban_Necropolis,Who built it,
779,158.0,Theban_Necropolis,Which ruler commissioned,
780,158.0,Theban_Necropolis,Which architectural style,
781,158.0,Theban_Necropolis,What original name,
782,158.0,Theban_Necropolis,What primary material,
783,158.0,Theban_Necropolis,What purpose served,
784,159.0,Citadel_of_Qaitbay,What Cultural Category does the object in the image belong to,Famous Landmarks
785,159.0,Citadel_of_Qaitbay,Where exactly located,
786,159.0,Citadel_of_Qaitbay,When established,
787,159.0,Citadel_of_Qaitbay,Who built it,
788,159.0,Citadel_of_Qaitbay,Which ruler commissioned,
789,159.0,Citadel_of_Qaitbay,Which architectural style,
790,159.0,Citadel_of_Qaitbay,What original name,
791,159.0,Citadel_of_Qaitbay,What primary material,
792,159.0,Citadel_of_Qaitbay,What purpose served,
793,160.0,Nabq_Protected_Area,What Cultural Category does the object in the image belong to,Natural scenery and Ecosystem
794,160.0,Nabq_Protected_Area,Which landscape type,
795,160.0,Nabq_Protected_Area,Which biome present,
796,160.0,Nabq_Protected_Area,Which region located,
797,160.0,Nabq_Protected_Area,What season shown,
798,160.0,Nabq_Protected_Area,Which water body,
799,160.0,Nabq_Protected_Area,Which mountain range,
800,160.0,Nabq_Protected_Area,What vegetation type,
801,160.0,Nabq_Protected_Area,Which wildlife species,
802,160.0,Nabq_Protected_Area,What protection status,
803,160.0,Nabq_Protected_Area,Which ecological reserve,
804,161.0,Mosque_of_al-Mahmudiya,What Cultural Category does the object in the image belong to,Religion and belief
805,161.0,Mosque_of_al-Mahmudiya,Which religion represented,
806,161.0,Mosque_of_al-Mahmudiya,Which deity worshipped,
807,161.0,Mosque_of_al-Mahmudiya,What ritual performed,
808,161.0,Mosque_of_al-Mahmudiya,Which ceremony type,
809,161.0,Mosque_of_al-Mahmudiya,What offering present,
810,161.0,Mosque_of_al-Mahmudiya,Which religious symbol,
811,161.0,Mosque_of_al-Mahmudiya,What scripture shown,
812,161.0,Mosque_of_al-Mahmudiya,Which holy place,
813,161.0,Mosque_of_al-Mahmudiya,What architectural style,
814,161.0,Mosque_of_al-Mahmudiya,Which festival shown,
815,162.0,Bibliotheca_Alexandrina_planetarium,What Cultural Category does the object in the image belong to,Famous Landmarks
816,162.0,Bibliotheca_Alexandrina_planetarium,Where exactly located,
817,162.0,Bibliotheca_Alexandrina_planetarium,When established,
818,162.0,Bibliotheca_Alexandrina_planetarium,Who built it,
819,162.0,Bibliotheca_Alexandrina_planetarium,Which ruler commissioned,
820,162.0,Bibliotheca_Alexandrina_planetarium,Which architectural style,
821,162.0,Bibliotheca_Alexandrina_planetarium,What original name,
822,162.0,Bibliotheca_Alexandrina_planetarium,What primary material,
823,162.0,Bibliotheca_Alexandrina_planetarium,What purpose served,
824,163.0,Al-Jawhara_Palace_museum,What Cultural Category does the object in the image belong to,"Given that a Wikipedia summary would likely describe a museum, the most appropriate category is:

Historical Artifacts"
825,164.0,Aswan_High_Dam,What Cultural Category does the object in the image belong to,Famous Landmarks
826,164.0,Aswan_High_Dam,Where exactly located,
827,164.0,Aswan_High_Dam,When established,
828,164.0,Aswan_High_Dam,Who built it,
829,164.0,Aswan_High_Dam,Which ruler commissioned,
830,164.0,Aswan_High_Dam,Which architectural style,
831,164.0,Aswan_High_Dam,What original name,
832,164.0,Aswan_High_Dam,What primary material,
833,164.0,Aswan_High_Dam,What purpose served,
834,165.0,Mortuary_Temple_of_Hatshepsut,What Cultural Category does the object in the image belong to,Famous Landmarks
835,165.0,Mortuary_Temple_of_Hatshepsut,Where exactly located,
836,165.0,Mortuary_Temple_of_Hatshepsut,When established,
837,165.0,Mortuary_Temple_of_Hatshepsut,Who built it,
838,165.0,Mortuary_Temple_of_Hatshepsut,Which ruler commissioned,
839,165.0,Mortuary_Temple_of_Hatshepsut,Which architectural style,
840,165.0,Mortuary_Temple_of_Hatshepsut,What original name,
841,165.0,Mortuary_Temple_of_Hatshepsut,What primary material,
842,165.0,Mortuary_Temple_of_Hatshepsut,What purpose served,
843,166.0,Deir_el-Bahari,What Cultural Category does the object in the image belong to,Famous Landmarks
844,166.0,Deir_el-Bahari,Where exactly located,
845,166.0,Deir_el-Bahari,When established,
846,166.0,Deir_el-Bahari,Who built it,
847,166.0,Deir_el-Bahari,Which ruler commissioned,
848,166.0,Deir_el-Bahari,Which architectural style,
849,166.0,Deir_el-Bahari,What original name,
850,166.0,Deir_el-Bahari,What primary material,
851,166.0,Deir_el-Bahari,What purpose served,
852,167.0,El_Alamein_Military_Museum,What Cultural Category does the object in the image belong to,Historical Artifacts
853,167.0,El_Alamein_Military_Museum,What object type,
854,167.0,El_Alamein_Military_Museum,Which era dates,
855,167.0,El_Alamein_Military_Museum,Which civilization made,
856,167.0,El_Alamein_Military_Museum,What material crafted,
857,167.0,El_Alamein_Military_Museum,Which purpose served,
858,167.0,El_Alamein_Military_Museum,What inscription reads,
859,167.0,El_Alamein_Military_Museum,What decorative motif,
860,167.0,El_Alamein_Military_Museum,Which museum houses,
861,167.0,El_Alamein_Military_Museum,When discovered,
862,167.0,El_Alamein_Military_Museum,What condition status,
863,168.0,"Pompey's_Pillar,_Alexandria",What Cultural Category does the object in the image belong to,Famous Landmarks
864,168.0,"Pompey's_Pillar,_Alexandria",Where exactly located,
865,168.0,"Pompey's_Pillar,_Alexandria",When established,
866,168.0,"Pompey's_Pillar,_Alexandria",Who built it,
867,168.0,"Pompey's_Pillar,_Alexandria",Which ruler commissioned,
868,168.0,"Pompey's_Pillar,_Alexandria",Which architectural style,
869,168.0,"Pompey's_Pillar,_Alexandria",What original name,
870,168.0,"Pompey's_Pillar,_Alexandria",What primary material,
871,168.0,"Pompey's_Pillar,_Alexandria",What purpose served,
872,169.0,Esna_Temple,What Cultural Category does the object in the image belong to,Famous Landmarks
873,169.0,Esna_Temple,Where exactly located,
874,169.0,Esna_Temple,When established,
875,169.0,Esna_Temple,Who built it,
876,169.0,Esna_Temple,Which ruler commissioned,
877,169.0,Esna_Temple,Which architectural style,
878,169.0,Esna_Temple,What original name,
879,169.0,Esna_Temple,What primary material,
880,169.0,Esna_Temple,What purpose served,
881,170.0,Pyramid_of_Amenemhat_III_in_Hawara,What Cultural Category does the object in the image belong to,Famous Landmarks
882,170.0,Pyramid_of_Amenemhat_III_in_Hawara,Where exactly located,
883,170.0,Pyramid_of_Amenemhat_III_in_Hawara,When established,
884,170.0,Pyramid_of_Amenemhat_III_in_Hawara,Who built it,
885,170.0,Pyramid_of_Amenemhat_III_in_Hawara,Which ruler commissioned,
886,170.0,Pyramid_of_Amenemhat_III_in_Hawara,Which architectural style,
887,170.0,Pyramid_of_Amenemhat_III_in_Hawara,What original name,
888,170.0,Pyramid_of_Amenemhat_III_in_Hawara,What primary material,
889,170.0,Pyramid_of_Amenemhat_III_in_Hawara,What purpose served,
890,171.0,Great_Sphinx_of_Giza,What Cultural Category does the object in the image belong to,Famous Landmarks
891,171.0,Great_Sphinx_of_Giza,Where exactly located,
892,171.0,Great_Sphinx_of_Giza,When established,
893,171.0,Great_Sphinx_of_Giza,Who built it,
894,171.0,Great_Sphinx_of_Giza,Which ruler commissioned,
895,171.0,Great_Sphinx_of_Giza,Which architectural style,
896,171.0,Great_Sphinx_of_Giza,What original name,
897,171.0,Great_Sphinx_of_Giza,What primary material,
898,171.0,Great_Sphinx_of_Giza,What purpose served,
899,172.0,Rahmanyia_island,What Cultural Category does the object in the image belong to,I am unable to answer the question because the provided Wikipedia summary is empty. I need information about Rahmanyia_island to categorize it.
900,173.0,Al-Azhar_Park_(Cairo),What Cultural Category does the object in the image belong to,Famous Landmarks
901,173.0,Al-Azhar_Park_(Cairo),Where exactly located,
902,173.0,Al-Azhar_Park_(Cairo),When established,
903,173.0,Al-Azhar_Park_(Cairo),Who built it,
904,173.0,Al-Azhar_Park_(Cairo),Which ruler commissioned,
905,173.0,Al-Azhar_Park_(Cairo),Which architectural style,
906,173.0,Al-Azhar_Park_(Cairo),What original name,
907,173.0,Al-Azhar_Park_(Cairo),What primary material,
908,173.0,Al-Azhar_Park_(Cairo),What purpose served,
909,174.0,Deir_el-Muharraq,What Cultural Category does the object in the image belong to,Religion and belief
910,174.0,Deir_el-Muharraq,Which religion represented,
911,174.0,Deir_el-Muharraq,Which deity worshipped,
912,174.0,Deir_el-Muharraq,What ritual performed,
913,174.0,Deir_el-Muharraq,Which ceremony type,
914,174.0,Deir_el-Muharraq,What offering present,
915,174.0,Deir_el-Muharraq,Which religious symbol,
916,174.0,Deir_el-Muharraq,What scripture shown,
917,174.0,Deir_el-Muharraq,Which holy place,
918,174.0,Deir_el-Muharraq,What architectural style,
919,174.0,Deir_el-Muharraq,Which festival shown,
920,175.0,"Shalalat_Garden,_Alexandria",What Cultural Category does the object in the image belong to,"I cannot answer this question because the provided information is insufficient. The Wikipedia summary is empty, and without knowing anything about ""Shalalat_Garden,_Alexandria,"" I cannot categorize it."
921,176.0,Eliyahu_Hanavi_Synagogue_(Alexandria),What Cultural Category does the object in the image belong to,Religion and belief
922,176.0,Eliyahu_Hanavi_Synagogue_(Alexandria),Which religion represented,
923,176.0,Eliyahu_Hanavi_Synagogue_(Alexandria),Which deity worshipped,
924,176.0,Eliyahu_Hanavi_Synagogue_(Alexandria),What ritual performed,
925,176.0,Eliyahu_Hanavi_Synagogue_(Alexandria),Which ceremony type,
926,176.0,Eliyahu_Hanavi_Synagogue_(Alexandria),What offering present,
927,176.0,Eliyahu_Hanavi_Synagogue_(Alexandria),Which religious symbol,
928,176.0,Eliyahu_Hanavi_Synagogue_(Alexandria),What scripture shown,
